"","Value","count","Legend","percent"
"1",11,6147,"Open Water",0.677430019836897
"2",12,4358,"Perennial Snow/Ice",0.480273308353538
"3",21,3675,"Developed, Open Space",0.405003306149438
"4",22,1403,"Developed, Low Intensity",0.15461758871501
"5",23,347,"Developed, Medium Intensity",0.0382411284990082
"6",24,39,"Developed, High Intensity",0.00429799426934097
"7",31,60894,"Barren Land",6.71082212916024
"8",41,4905,"Deciduous Forest",0.540555433105576
"9",42,720431,"Evergreen Forest",79.3950848578356
"10",43,10578,"Mixed Forest",1.16574829182279
"11",52,79984,"Shrub/Scrub",8.81463522151201
"12",71,9510,"Herbaceuous",1.04804937183161
"13",81,853,"Hay/Pasture",0.0940048490191757
"14",90,3974,"Woody Wetlands",0.437954595547719
"15",95,302,"Emergent Herbaceuous Wetlands",0.0332819043420763
