"","Value","count","Legend","percent"
"1",11,2991,"Open Water",0.423332993647882
"2",12,4358,"Perennial Snow/Ice",0.616812165268295
"3",21,917,"Developed, Open Space",0.12978814950689
"4",22,243,"Developed, Low Intensity",0.0343931519413024
"5",23,82,"Developed, Medium Intensity",0.0116059195851308
"6",24,10,"Developed, High Intensity",0.00141535604696718
"7",31,59927,"Barren Land",8.48180418266019
"8",41,618,"Deciduous Forest",0.0874690037025714
"9",42,562924,"Evergreen Forest",79.673788738295
"10",43,1185,"Mixed Forest",0.16771969156561
"11",52,65930,"Shrub/Scrub",9.33144241765459
"12",71,4467,"Herbaceuous",0.632239546180237
"13",81,2,"Hay/Pasture",0.000283071209393435
"14",90,2640,"Woody Wetlands",0.373653996399334
"15",95,242,"Emergent Herbaceuous Wetlands",0.0342516163366056
