"","Value","count","Legend","percent"
"1",11,15026,"Open Water",1.72882147668921
"2",21,126118,"Developed, Open Space",14.5105488484687
"3",22,53132,"Developed, Low Intensity",6.11312010511455
"4",23,19864,"Developed, Medium Intensity",2.2854591915982
"5",24,6902,"Developed, High Intensity",0.794111928131835
"6",31,1086,"Barren Land",0.124950094748069
"7",41,291329,"Deciduous Forest",33.5189559418602
"8",42,7242,"Evergreen Forest",0.833230742325521
"9",43,24506,"Mixed Forest",2.81954606067788
"10",52,3870,"Shrub/Scrub",0.445264149792843
"11",71,2663,"Herbaceuous",0.306392359405256
"12",81,198716,"Hay/Pasture",22.8633361215076
"13",82,108555,"Cultivated Crops",12.489831984693
"14",90,9859,"Woody Wetlands",1.13433055628104
"15",95,279,"Emergent Herbaceuous Wetlands",0.0321004387059956
