"","Value","count","Legend","percent"
"1",0,929,"Unclassified",0.00415685807752697
"2",11,1242789,"Open Water",5.56092302832257
"3",21,352641,"Developed, Open Space",1.57791021455026
"4",22,126670,"Developed, Low Intensity",0.566791402239334
"5",23,50518,"Developed, Medium Intensity",0.226045378213679
"6",24,11628,"Developed, High Intensity",0.0520300815128995
"7",31,54346,"Barren Land",0.243173960259721
"8",41,2988081,"Deciduous Forest",13.3703214651828
"9",42,4992951,"Evergreen Forest",22.3412149569929
"10",43,7026800,"Mixed Forest",31.4417764684247
"11",52,1049266,"Shrub/Scrub",4.69499445379377
"12",71,518221,"Herbaceuous",2.31880640451464
"13",81,217322,"Hay/Pasture",0.972418418863634
"14",82,34425,"Cultivated Crops",0.15403642553161
"15",90,3470204,"Woody Wetlands",15.5276055199854
"16",95,211819,"Emergent Herbaceuous Wetlands",0.947794963534645
