"Source_ID","Site_ID","Site_Name","Flux_Name","Date_start","Date_end","Aggregated_Space","Aggregated_Time","Diffusive_CH4_Flux_Min","Diffusive_CH4_Flux_Max","Diffusive_CH4_Flux_Mean","Diffusive_CH4_Flux_SD","Diffusive_CH4_Flux_Median","SampleCount_Diffusive","Diff_Method","Eb_CH4_Flux_Min","Eb_CH4_Flux_Max","Eb_CH4_Flux_Mean","Eb_CH4_Flux_SD","Eb_CH4_Flux_Median","SampleCount_Eb","Eb_Method","Total_CH4_Flux_Min","Total_CH4_Flux_Max","Total_CH4_Flux_Mean","Total_CH4_Flux_SD","Total_CH4_Flux_Median","Total_Method","CO2_Flux_Min","CO2_Flux_Max","CO2_Flux_Mean","CO2_Flux_SD","CO2_Flux_Median","CO2_Flux_Method","N2O_Flux_Min","N2O_Flux_Max","N2O_Flux_Mean","N2O_Flux_SD","N2O_Flux_Median","k_Method","k_ref","Comments","new_Diffusive_CH4_Flux_unit","new_Eb_CH4_Flux_unit","new_Total_CH4_Flux_unit","new_CO2_Flux_unit","new_N2O_Flux_unit","orig_Diffusive_CH4_Flux_unit","orig_Eb_CH4_Flux_unit","orig_Total_CH4_Flux_unit","orig_CO2_Flux_unit","orig_N2O_Flux_unit"
2222,1000,"Kytalyk S1","Kytalyk S1-1",2020-08-01,2020-08-01,"No","No",NA,NA,4.430826687,NA,NA,1,"conc+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.45296088,NA,NA,"conc+k",NA,NA,NA,NA,NA,"assigned k value","Aufdenkampe et al. 2011","k = fixed value for boreal & arctic streams","mmol m-2 d-1",NA,NA,"mmol m-2 d-1",NA,"mg C m-2 d-1",NA,NA,"mg C m-2 d-1",NA
2222,1000,"Kytalyk S1","Kytalyk S1-2",2020-08-05,2020-08-05,"No","No",NA,NA,1.146495273,NA,NA,1,"conc+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.57152942,NA,NA,"conc+k",NA,NA,NA,NA,NA,"assigned k value","Aufdenkampe et al. 2011","k = fixed value for boreal & arctic streams","mmol m-2 d-1",NA,NA,"mmol m-2 d-1",NA,"mg C m-2 d-1",NA,NA,"mg C m-2 d-1",NA
2222,1000,"Kytalyk S1","Kytalyk S1-3",2020-08-08,2020-08-08,"No","No",NA,NA,3.016990126,NA,NA,1,"conc+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.48539346,NA,NA,"conc+k",NA,NA,NA,NA,NA,"assigned k value","Aufdenkampe et al. 2011","k = fixed value for boreal & arctic streams","mmol m-2 d-1",NA,NA,"mmol m-2 d-1",NA,"mg C m-2 d-1",NA,NA,"mg C m-2 d-1",NA
2222,1001,"Kytalyk S2","Kytalyk S2-1",2020-08-01,2020-08-01,"No","No",NA,NA,5.909917038,NA,NA,1,"conc+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303.9340435,NA,NA,"conc+k",NA,NA,NA,NA,NA,"assigned k value","Aufdenkampe et al. 2011","k = fixed value for boreal & arctic streams","mmol m-2 d-1",NA,NA,"mmol m-2 d-1",NA,"mg C m-2 d-1",NA,NA,"mg C m-2 d-1",NA
2222,1001,"Kytalyk S2","Kytalyk S2-2",2020-08-05,2020-08-05,"No","No",NA,NA,5.586369673,NA,NA,1,"conc+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.2717615,NA,NA,"conc+k",NA,NA,NA,NA,NA,"assigned k value","Aufdenkampe et al. 2011","k = fixed value for boreal & arctic streams","mmol m-2 d-1",NA,NA,"mmol m-2 d-1",NA,"mg C m-2 d-1",NA,NA,"mg C m-2 d-1",NA
2222,1001,"Kytalyk S2","Kytalyk S2-3",2020-08-08,2020-08-08,"No","No",NA,NA,11.38336896,NA,NA,1,"conc+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239.7589971,NA,NA,"conc+k",NA,NA,NA,NA,NA,"assigned k value","Aufdenkampe et al. 2011","k = fixed value for boreal & arctic streams","mmol m-2 d-1",NA,NA,"mmol m-2 d-1",NA,"mg C m-2 d-1",NA,NA,"mg C m-2 d-1",NA
2222,1002,"Kytalyk S3","Kytalyk S3-1",2020-08-01,2020-08-01,"No","No",NA,NA,3.307592664,NA,NA,1,"conc+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.0230385,NA,NA,"conc+k",NA,NA,NA,NA,NA,"assigned k value","Aufdenkampe et al. 2011","k = fixed value for boreal & arctic streams","mmol m-2 d-1",NA,NA,"mmol m-2 d-1",NA,"mg C m-2 d-1",NA,NA,"mg C m-2 d-1",NA
2222,1002,"Kytalyk S3","Kytalyk S3-2",2020-08-05,2020-08-05,"No","No",NA,NA,4.17495409,NA,NA,1,"conc+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.6634001,NA,NA,"conc+k",NA,NA,NA,NA,NA,"assigned k value","Aufdenkampe et al. 2011","k = fixed value for boreal & arctic streams","mmol m-2 d-1",NA,NA,"mmol m-2 d-1",NA,"mg C m-2 d-1",NA,NA,"mg C m-2 d-1",NA
2222,1002,"Kytalyk S3","Kytalyk S3-3",2020-08-08,2020-08-08,"No","No",NA,NA,5.058646642,NA,NA,1,"conc+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.0763854,NA,NA,"conc+k",NA,NA,NA,NA,NA,"assigned k value","Aufdenkampe et al. 2011","k = fixed value for boreal & arctic streams","mmol m-2 d-1",NA,NA,"mmol m-2 d-1",NA,"mg C m-2 d-1",NA,NA,"mg C m-2 d-1",NA
2222,1003,"Kytalyk S4","Kytalyk S4-1",2020-08-01,2020-08-01,"No","No",NA,NA,3.483406801,NA,NA,1,"conc+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301.1641837,NA,NA,"conc+k",NA,NA,NA,NA,NA,"assigned k value","Aufdenkampe et al. 2011","k = fixed value for boreal & arctic streams","mmol m-2 d-1",NA,NA,"mmol m-2 d-1",NA,"mg C m-2 d-1",NA,NA,"mg C m-2 d-1",NA
2222,1003,"Kytalyk S4","Kytalyk S4-2",2020-08-05,2020-08-05,"No","No",NA,NA,3.477400631,NA,NA,1,"conc+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.44018222,NA,NA,"conc+k",NA,NA,NA,NA,NA,"assigned k value","Aufdenkampe et al. 2011","k = fixed value for boreal & arctic streams","mmol m-2 d-1",NA,NA,"mmol m-2 d-1",NA,"mg C m-2 d-1",NA,NA,"mg C m-2 d-1",NA
2222,1003,"Kytalyk S4","Kytalyk S4-3",2020-08-08,2020-08-08,"No","No",NA,NA,4.936731027,NA,NA,1,"conc+k",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.5047201,NA,NA,"conc+k",NA,NA,NA,NA,NA,"assigned k value","Aufdenkampe et al. 2011","k = fixed value for boreal & arctic streams","mmol m-2 d-1",NA,NA,"mmol m-2 d-1",NA,"mg C m-2 d-1",NA,NA,"mg C m-2 d-1",NA
