Source_ID,Site_ID,Site_Name,Stream_Name,Aggregated,N_sites_aggregated,Basin_Region,Latitude,Longitude,Elevation_m,Slope_m_per_m,Strahler_order,Basin_size_km2,Channel_type,Latitude_snapped,Longitude_snapped,Elevation_estimated_m,Comments
2222,1000,Kytalyk S1,Indigirka Trib-S1,No,NA,Indigirka River,70.8313,147.519,61,NA,NA,NA,NA,70.83102894,147.5195247,2.901999897,lat lon estimated from Fig. 1 with GoogleEarth
2222,1001,Kytalyk S2,Indigirka Trib-S2,No,NA,Indigirka River,70.8306,147.519,61,NA,NA,NA,NA,70.83091858,147.5186638,2.906499897,lat lon estimated from Fig. 1 with GoogleEarth
2222,1002,Kytalyk S3,Indigirka Trib-S3,No,NA,Indigirka River,70.8295,147.512,61,NA,NA,NA,NA,70.8295,147.512,5.999200136,lat lon estimated from Fig. 1 with GoogleEarth
2222,1003,Kytalyk S4,Indigirka Trib-S4,No,NA,Indigirka River,70.8283,147.506,61,NA,NA,NA,NA,70.8283,147.506,5.000100136,lat lon estimated from Fig. 1 with GoogleEarth
2223,1004,Annweiler DN,Queich,No,NA,Rhine River,49.214,7.979,NA,NA,NA,NA,PS,49.214,7.979,200,lat lon estimated from Fig 1 and STP locations (from Google maps) with Google Earth
2223,1005,Bellheim DN,Spiegelbach,No,NA,Rhine River,49.1908,8.299,NA,NA,NA,NA,PS,49.19104518,8.299300982,107.9660992,lat lon estimated from Fig 1 and STP locations (from Google maps) with Google Earth
2223,1006,Edenkoben DN,Triefenbach,No,NA,Rhine River,49.284,8.156,NA,NA,NA,NA,PS,49.28320906,8.154633906,134.8561068,lat lon estimated from Fig 1 and STP locations (from Google maps) with Google Earth
2223,1007,Germersheim DN,Queich,No,NA,Rhine River,49.2238,8.377,NA,NA,NA,NA,PS,49.2238,8.377,100.0000992,lat lon estimated from Fig 1 and STP locations (from Google maps) with Google Earth
2223,1008,Hochstadt DN,Hainbach,No,NA,Rhine River,49.2463,8.2252,NA,NA,NA,NA,PS,49.24621586,8.2250945,124.8560992,lat lon estimated from Fig 1 and STP locations (from Google maps) with Google Earth
2223,1009,Neustadt DN,Speyerbach,No,NA,Rhine River,49.3308,8.2295,NA,NA,NA,NA,PS,49.3308,8.2295,118.0000992,lat lon estimated from Fig 1 and STP locations (from Google maps) with Google Earth
