Title,Author,Source,Pub_year,Source_ID,Additional_data,Comments,Paper_DOI,Data_DOI_primary,Data_DOI_supporting
Patterns and persistence of hydrologic carbon and nutrient export from collapsing upland permafrost,Abbott,Biogeosciences,2015,2297,NA,"Data reported for streams and reference water tracks only. Some ambiguity about specific sampling identities, so lat long reported in less detail than provided in the original data set",10.5194/bg-12-3725-2015,10.18739/A23T9D71C,NA
"Carbon dioxide and methane emissions and the carbon budget of a 10-year old tropical reservoir (Petit Saut, French Guiana)",Abril,Global Biogeochemical Cycles,2005,2292,NA,NA,10.1029/2005GB002457,NA,NA
Greenhouse gas (methane and carbon dioxide) emissions from a tropical river in Kenya: the importance of anthropogenic factors on natural gas flux rates,Adams,SIL Proceedings,2009,7243,NA,NA,10.1080/03680770.2009.11902264,NA,NA
Differential response of greenhouse gas evasion to storms,Aho,Journal of Geophysical Research: Biogeosciences,2019,12484,Yes,Lat-Lon data provided by Aho,10.1029/2018JG004750,NA,NA
Dissolved greenhouse gas concentrations derived from the NEON dissolved gases in surface water data product (DP1.20097.001) ver 1,Aho,Environmental Data Initiative,2021,2309,NA,NEON-based data,NA,10.6073/pasta/47d7cb6d374b6662cce98e42122169f8,"10.48443/8td9-4z94 , 10.48443/05k7-e011, https://doi.org/10.48443/c50j-m773"
Distinct concentration-discharge dynamics in temperate streams and rivers: CO2 exhibits chemostasis while CH4 exhibits source limitation due to temperature control,Aho,Limnology and Oceanography,2021,2331,NA,N2O from supporting data,10.1002/lno.11906,10.6073/pasta/af4daec813775b7f426a1db574cbebc7,10.6073/pasta/3494ca49fc3283eea5e4fc2f8a24ce3b
Export of dissolved methane and carbon dioxide with effluents from municipal wastewater treatment plants,Alshboul,Environmental Sciene & Technology,2016,2223,NA,Sites upstream and downstream of sewage treatment plants; Lat-Lon for paired sites offset slightly to denote that they are distinct sites,10.1021/acs.est.5b04923,NA,NA
"Hydrological, geochemical and land use drivers of greenhouse gas dynamics in eleven sub-tropical streams",Andrews,Aquatic Sciences,2021,2345,NA,NA,10.1007/s00027-021-00791-x,NA,NA
"Methane dynamics in the Willamette River, Oregon",Anthony,Limnology and Oceanography,2012,7171,Yes,"Concentration provided by Anthony; temperature data was taken from USGS 14174000 WILLAMETTE RIVER AT ALBANY, OR upstream of sampling sites, so is entered as estimated temp",10.4319/lo.2012.57.5.1517,NA,NA
"Water-quality data from two agricultural drainage basins in northwestern Indiana and northeastern Illinois: I. Lagrangian and synopotic data, 1999-2002",Antweiler,USGS Open-File Report,2004,7249,NA,Related dataset to Pub_Nid 2275,10.3133/ofr20041317,NA,NA
