OBJECTID,Site_ID,WB_Name,SITE_TYPE,Eco_Region,LAT_DD,LON_DD,FLD_LAT_DD,FLD_LON_DD,FLD_FLAG,Replicate?,Random,"0=Calibrate,1=Validate",HUC4,HUC12,Sample_ID,WDML_Bottl,WDML_Bot_1,sediment_C_pct,Precip_mm,Temp_min_C,Temp_max_C,KFactor,Slope_Deg,SOC_0_5,Water10,Developed2,Barren30,Forest40,Shrubland5,Herbaceous,Pasture81,Cultivated,Wetlands90,WaterBody_Area_m2_KV,LAKEAREA_m2_EPA,LAKEPERIM_km_EPA,AbsDif_WB_Area_pct,Type_Water_Body_KV,LAKE_ORIGIN_EPA,LAKE_ORIGIN_renamed,log_sediment_C_pct,log_Precip_mm,log_Temp_min_C,log_Temp_max_C,log_KFactor,log_Slope_Deg,log_Soil_OC_0_5,log_Water10,log_Developed2,log_Barren30,log_Forest40,log_Shrubland5,log_Herbaceous,log_Pasture81,log_Cultivated,log_Wetlands90,log_WaterBody_Area_m2,log_Lake_Area_m2_EPA,Reservoir_PermanentID,RecordCount
161,NLA06608-0297,Boatwright Farm Pond,PROB_Lake,8.3,33.8410,-81.6721,33.8410,-81.6724,,,0.626408162,0,3,030502040101,504600,MSC509H,509H,15.1138,1233.2,9.8,23.5,0.2302,2.40,533,0.0148,0.0761,0.0011,0.3619,0.0056,0.1700,0.0957,0.1948,0.0800," 41,004 "," 40,367 ",0.841992475,2%,LAKE,MAN-MADE,RESERVOIR,1.179373815,3.091042269,0.989657248,1.371844689,-0.637946256,0.380206341,2.726354605,-1.828887289,-1.118820603,-2.952299506,-0.441362738,-2.252314794,-0.769671315,-1.019161646,-0.710453137,-1.096698888,4.612830413,4.606023754,152804873,1
555,NLA06608-1789,Portage Reservoir,PROB_Lake,8.4,40.3539,-78.6234,40.3537,-78.6233,,,0.239422676,1,5,050100070502,517750,MSC642H,642H,6.3600,1141.2,2.5,13.8,0.2219,6.36,756,0.0016,0.1123,0.0096,0.7651,0.0000,0.0001,0.0867,0.0243,0.0003," 37,260 "," 40,898 ",0.779986087,9%,RESERVOIR,MAN-MADE,RESERVOIR,0.803457116,3.057344649,0.403488207,1.140578575,-0.653751568,0.803205518,2.878637206,-2.795947061,-0.949761925,-2.016527797,-0.116272169,-5,-3.977790649,-1.062004009,-1.613677608,-3.597579407,4.571248296,4.611706639,123727453,1
660,NLA06608-3032,L JONES PROPERTY LAKE,PROB_Lake,9.4,33.8416,-97.2508,33.8411,-97.2509,,,0.033316514,1,11,111302010708,518070,MSC941H,941H,3.5064,978.1,10.9,23.6,0.2464,2.68,510,0.0318,0.0542,0.0208,0.2765,0.0000,0.4188,0.1015,0.0957,0.0006," 32,161 "," 42,796 ",0.848543616,28%,LAKE,MAN-MADE,RESERVOIR,0.544865421,2.990390999,1.036320786,1.373316275,-0.608289284,0.428402893,2.7079709,-1.497624623,-1.265773632,-1.682905108,-0.558237147,-5,-0.378010251,-0.99333197,-1.018954773,-3.208742906,4.507334246,4.631407145,148327772,1
405,NLA06608-1087,Pennoyer Farm Pond,PROB_Lake,8.4,35.0564,-82.3396,35.0559,-82.3389,,,0.41633199,1,3,030501070301,504890,MSC868I,868I,4.4823,1503.2,8.9,21.7,0.2755,4.86,554,0.0332,0.0809,0.0049,0.6374,0.0074,0.0906,0.1332,0.0000,0.0124," 29,342 "," 43,931 ",0.845930963,40%,RESERVOIR,MAN-MADE,RESERVOIR,0.651497432,3.177019222,0.950073166,1.337365638,-0.559930971,0.686884971,2.743452249,-1.479391009,-1.091824091,-2.310563336,-0.19561892,-2.12889036,-1.042726397,-0.875613304,-5,-1.905678583,4.467490116,4.642775651,103620413,1
203,NLA06608-0444,Enid View Drive Lake,PROB_Lake,8.3,34.1658,-89.9116,34.1685,-89.9070,Not in NHD Lake Polygon,,0.462093453,1,8,080302030401,504200,MSC582H,582H,0.9097,1415.5,10.1,22.6,0.4481,2.61,513,0.0106,0.1027,0.0000,0.2539,0.1793,0.0009,0.1123,0.2918,0.0485," 37,331 "," 43,989 ",1.119552107,16%,LAKE,MAN-MADE,RESERVOIR,-0.041105147,3.150908825,1.002612367,1.354187426,-0.348631121,0.416204633,2.710138395,-1.974952443,-0.988603073,-5,-0.595318337,-0.746305364,-3.025672616,-0.949798954,-0.534854915,-1.314684276,4.572068879,4.643343996,122131922,1
530,NLA06608-1623,Vernon Lake,PROB_Lake,8.3,30.2405,-96.8115,30.2397,-96.8106,,,0.343179234,1,12,120701020303,511640,MSC743I,743I,5.3282,996.1,13.6,26.1,0.3299,1.24,421,0.0083,0.0387,0.0039,0.2472,0.2271,0.0326,0.3318,0.0041,0.1062," 36,308 "," 46,964 ",0.842119632,26%,LAKE,MAN-MADE,RESERVOIR,0.726578399,2.998288027,1.133538921,1.416981908,-0.481599171,0.093040329,2.624125669,-2.07915018,-1.412038078,-2.41388734,-0.606864674,-0.643841818,-1.486130469,-0.479098544,-2.382048111,-0.97407147,4.560003508,4.671765794,94316454,1
391,NLA06608-1024,Fayant Lake,PROB_Lake,9.2,48.8960,-99.7139,48.8953,-99.7133,,,0.992322356,0,9,090100040302,510220,MSC915I,915I,3.8913,475.6,-3.6,9.1,0.3369,2.01,1568,0.1125,0.0536,0.0006,0.3207,0.0000,0.1615,0.0222,0.2518,0.0770," 46,230 "," 47,155 ",1.0115846,2%,LAKE,NATURAL,LAKE,0.590089803,2.677223654,-5,0.958782861,-0.472476252,0.303570506,3.195221619,-0.948705096,-1.270627573,-3.225126228,-0.493851316,-4.579234667,-0.791887563,-1.654541964,-0.598876729,-1.113465287,4.664920544,4.673527466,143383209,1
710,NLA06608-OH:19,Argonne Lake,REF_Lake,8.2,39.7074,-84.2697,39.7077,-84.2706,,,0.260264944,1,5,050800020106,516486,MSC534I,534I,6.5103,1011.6,5.5,17.0,0.3462,1.94,706,0.0263,0.6152,0.0038,0.1134,0.0000,0.0000,0.1764,0.0598,0.0051," 54,126 "," 47,936 ",1.030826109,12%,LAKE,NATURAL,LAKE,0.813601202,3.004988162,0.738126797,1.230424752,-0.460714749,0.286759102,2.848631281,-1.579363042,-0.211016142,-2.424159802,-0.945425241,-5,-5,-0.753589728,-1.222948347,-2.289320702,4.733403412,4.68065878,152855796,1
708,NLA06608-NV:3,Angel Lake,REF_Lake,10.1,41.0265,-115.0870,41.0267,-115.0867,,,0.171199695,1,16,160401010104,517520,MSC945H,945H,8.4022,388.9,-1.0,14.1,0.2300,8.51,527,0.0012,0.0110,0.0010,0.0844,0.8575,0.0219,0.0197,0.0000,0.0032," 53,741 "," 48,261 ",0.831869254,11%,LAKE,MAN-MADE,RESERVOIR,0.924390999,2.589792949,-5,1.148958086,-0.638193492,0.929999796,2.72204072,-2.908638182,-1.957470337,-2.983702862,-1.073703037,-0.066772419,-1.658760709,-1.70581267,-5,-2.495791127,4.730305833,4.683600159,148848899,1
590,NLA06608-1992,Soil Conservation Service Site 137 Reservoir,PROB_Lake,8.3,32.4528,-96.0612,32.4524,-96.0625,,,0.398711605,1,12,120301070302,503410,MSC194H,194H,3.9767,1064.5,11.6,24.4,0.2981,1.00,510,0.0786,0.0648,0.0004,0.1003,0.0403,0.0021,0.6053,0.0531,0.0550," 40,837 "," 48,699 ",1.156457427,18%,RESERVOIR,MAN-MADE,RESERVOIR,0.599521737,3.027154779,1.066277452,1.387266092,-0.52563712,0.001713012,2.707811818,-1.104641191,-1.188536528,-3.357309912,-0.998676397,-1.394718819,-2.67173823,-0.21803277,-1.274751767,-1.259301809,4.6110522,4.687522716,96070303,1
512,NLA06608-1496,Soil Conservation Service Site 6 Reservoir,PROB_Lake,9.4,33.6693,-97.5855,33.6689,-97.5845,,,0.617305717,0,12,120301030501,508970,MSC558I,558I,6.0259,918.2,10.8,24.0,0.2907,3.58,465,0.0076,0.0505,0.0026,0.2110,0.0000,0.6635,0.0419,0.0230,0.0000," 45,522 "," 48,979 ",1.272271983,7%,RESERVOIR,MAN-MADE,RESERVOIR,0.780021416,2.962926642,1.034997957,1.37972877,-0.536627965,0.553968245,2.667526369,-2.119959423,-1.296925715,-2.591553219,-0.675691716,-5,-0.178135321,-1.378190257,-1.638882818,-5,4.658222006,4.690013453,95320015,1
