"DSNUM","NAME","Lat","Long","Coordinate_System","USGS_ID","HUC","METHOD_SOURCE","Data_Source","ECOREGION","STATE","Surface_Area_acres","DRAIN_SQMILE","NET_SED_CONTRIB_SQMILE","SEDI_RATE_MEAN_ACFT_YR","Sed_Yield_m_yr","Sed_Yield_mm_yr","Sed.Rate..mm.yr.","slope_calc","forest_calc","crops_calc"
"74014","MILT J. MARTIN POND",453540,1211039,"",".",".","5","RESSED","10.1","OR",1.19,"0.07",0.069,0.019178082,"0.00013237",0.132369654,4.9,6.74108348769178,1.65,22.37
"76003","LESTER REEVES NO. 1 POND",462021,1170249,"",".",".","5","RESSED","10.1","WA",0.34,"0.101",0.1,0.026470588,"0.000126065",0.12606541,23.7,12.232419363229,0.15,0
"76004","LESTER REEVES NO. 2 POND",462021,1170249,"",".",".","5","RESSED","10.1","WA",0.25,"0.125",0.125,0.083870968,"0.000319546",0.319546444,102.3,12.232419363229,0.15,0
"76001","MRS. WEISS NO. 1 POND",462021,1170249,"",".",".","5","RESSED","10.1","WA",0.45,"0.129",0.128,0.035483871,"0.000132024",0.132024147,24,12.232419363229,0.15,0
"76002","MRS. WEISS NO. 2 POND",462021,1170249,"",".",".","5","RESSED","10.1","WA",0.46,"0.218",0.217,0.064516129,"0.000141593",0.141592717,42.7,12.232419363229,0.15,0
"31041","MITCHELL",385818,951406,"",".",".","5","RESSED","9.2","KS",1.51,"0.119",0.117,0.096031746,"0.000390896",0.390896077,19.4,2.51367075919043,3.19,3.55
"46045","BARBER",381752,982645,"",".",".","1","RESSED","9.4","KS",4.6,"0.57",0.57,0.588333333,"0.000491565",0.491564994,39,0.733345929051463,3.19,41.85
"46017","LONGTON",374824,1002052,"",".",".","5","RESSED","9.4","KS",6.35,"0.55",0.54,0.04079602,"3.59796E-05",0.035979604,2,0.492731556576771,0.11,74.39
"57017","CABALLO ARROYOS, SITE NO. 1 (UNDERWOOD)",325206,1071709,"",".",".","1","RESSED","10.2","NM",7.7,"0.87",0.87,0.574025974,"0.000314228",0.314227825,22.7,3.0566913857565,0,17.05
"50039","STICKLEY POND NO. 6",355446,1002254,"",".",".","5","RESSED","9.4","TX",3.399,"0.162",0.162,0.34984127,"0.001028462",1.028462294,31.4,1.88435146182308,0,0.03
"50038","STICKLEY POND NO. 4",355446,1002254,"",".",".","5","RESSED","9.4","TX",2.794,"0.171",0.171,0.16380531,"0.000456209",0.456209383,17.9,1.88435146182308,0,0.03
"50040","WHEELER FARM POND",355446,1002254,"",".",".","5","RESSED","9.4","TX",1.572,"0.205",0.205,0.05112782,"0.000118778",0.118777932,9.9,1.88435146182308,0,0.03
"50021","HARRISON NO. 1",355446,1002254,"",".",".","5","RESSED","9.4","TX",2.858,"0.237",0.237,0.077457627,"0.00015565",0.155649665,8.3,1.88435146182308,0,0.03
"50022","HARRISON NO. 2",355446,1002254,"",".",".","5","RESSED","9.4","TX",3.057,"0.292",0.292,0.214090909,"0.000349179",0.349178683,21.3,1.88435146182308,0,0.03
"50019","GEORGE POND",355446,1002254,"",".",".","5","RESSED","9.4","TX",3.15,"0.535",0.535,0.298965517,"0.000266134",0.266133574,28.9,1.88435146182308,0,0.03
"60018","MAGMA NO. 2",330153,1112312,"",".",".","5","RESSED","10.2","AZ",0.38,"0.38",0.38,0.057692308,"7.23047E-05",0.072304722,46.3,0.114591406237786,0,45.32
"60022","WHITLOW OLD TANK",330153,1112312,"",".",".","5","RESSED","10.2","AZ",0.5,"0.74",0.74,0.16,"0.000102972",0.102972347,97.5,0.114591406237786,0,45.32
"60015","HOMESTEAD",330153,1112312,"",".",".","5","RESSED","10.2","AZ",1.25,"0.9",0.9,0.695,"0.000367769",0.367768597,169.5,0.114591406237786,0,45.32
"28001","DONALD GARDNER",441951,935947,"",".",".","1","RESSED","8.1","MN",8.96,"1.484",1.482,0.25127907,"8.07496E-05",0.080749615,8.5,0.521377202138141,5.31,71.26
"57022","BERNALILLO RETARDING DAM NO. 1",351849,1063142,"",".",".","1","RESSED","10.1","NM",22.02,"4.1",4.07,0.660747664,"7.73167E-05",0.077316747,9.1,5.48359044446444,8.75,0.34
"60003","STOCK TANK NO. 16 (BRYCE DAM)",325739,1095340,"",".",".","5","RESSED","10.2","AZ",1.2,"0.69",0.69,1.188679245,"0.000820442",0.820442099,301.9,1.07130621351392,0,44.14
"33006","KLEIN RESERVOIR",401200,1004200,"",".",".","5","RESSED","9.4","NE",8.56,"1.59",1.57,2.51,"0.000761389",0.761388683,89.4,0.916654256385288,0,24.07
"76006","ROY T. WOOD POND",462360,1170000,"",".",".","5","RESSED","10.1","ID",0.86,"0.014",0.013,0.067307692,"0.002465776",2.465776427,23.9,3.98706766401114,0.28,0.52
"52003","BUCHANAN RESERVOIR",304504,982506,"","08148000","12090201","7","RESSED","9.4","TX",23490,"19350",19313,4094.864865,"0.000100977",0.100976934,53.1,1.18012614407902,3.44,15.94
"21012","OHIO CONSERVATION POND NO. 22",392455,812718,"",".",".","5","RESSED","8.4","OH",2,"0.05",0.05,0.2,"0.001904988",1.904988417,30.5,6.66196178263318,21.68,0
"21013","OHIO CONSERVATION POND NO. 51",392455,812718,"",".",".","5","RESSED","8.4","OH",2.3,"0.13",0.13,0.14,"0.000512881",0.512881497,18.6,6.66196178263318,21.68,0
"21014","OHIO CONSERVATION POND NO. 52",392455,812718,"",".",".","5","RESSED","8.4","OH",3.5,"0.17",0.16,0.223684211,"0.000665806",0.665805985,19.5,6.66196178263318,21.68,0
"36016","SCOTT NO. 2",425843,963410,"",".",".","1","RESSED","9.2","SD",2.31,"0.152",0.152,NA,"",NA,NA,2.28488959454142,1.54,72.72
"36021","SCOTT CREEK NO. 11",425742,963222,"",".",".","1","RESSED","9.2","SD",25.7,"1.85",1.45,1.082692308,"0.000355606",0.35560626,12.8,2.28488959454142,1.54,72.72
"35029","COOK RESERVOIR",412709,962102,"",".",".","5","RESSED","9.2","NE",5.08,"0.391",0.383,0.359565217,"0.000447107",0.447106772,21.6,0.624499265223565,2.6,56.07
"19061","LITTLE KENTUCKY RIVER NO. 4",381242,845221,"",".",".","7","RESSED","8.3","KY",44.7,"2.42",2.35,NA,"",NA,NA,9.63690765992303,37.03,0
"50004","J.J. HARRISON LAKE",344760,973560,"",".",".","5","RESSED","9.4","OK",47,"0.88",0.81,3.701657459,"0.002176424",2.176424254,24,0.704702551294888,6.22,26.21
"50012","LAKE TEXOMA (DENISON DAM)",334906,963416,"","07331500","11130210","1","RESSED","9.4","TX",144088,"33783",24368,15823.68298,"0.000309257",0.309257354,33.5,1.68973544524444,6.33,22.85
"75015","JOHN LANDA (FU 90, BLK. 81)",470749,1191636,"",".",".","5","RESSED","10.1","WA",0.5,"0.092",0.092,0.211428571,"0.001094481",1.094480923,128.9,0.956750581758989,0,7.89
"75016","SHAFFER",470749,1191636,"",".",".","5","RESSED","10.1","WA",1.06,"0.356",0.356,0.096774194,"0.000129462",0.12946188,27.8,0.956750581758989,0,7.89
"52004","MOSS RANCH STOCK POND (SOUTH BULL CREEK TANK)",304533,984028,"",".",".","5","RESSED","9.4","TX",2,"0.07",0.07,0.005063291,"3.44483E-05",0.034448253,0.8,2.42216750869855,1,0
"52006","HELMS TANK",304533,984028,"",".",".","5","RESSED","9.4","TX",4.4,"0.15",0.14,0.017479675,"5.94617E-05",0.059461746,1.2,2.42216750869855,1,0
"52005","MOSS RANCH STOCK POND (WEST BULL CREEK TANK)",304533,984028,"",".",".","5","RESSED","9.4","TX",6,"0.2",0.19,0.003989362,"9.99959E-06",0.009999589,0.2,2.42216750869855,1,0
"53042","WHITNEY RESERVOIR",315155,972219,"","08092500","12060202","7","RESSED","9.4","TX",49820,"17656",3480.2,1905.405405,"0.000260745",0.260744729,11.7,1.51798288911989,7.08,26.94
"53016","POSSUM KINGDOM LAKE",325217,982535,"","08088600","12060201","7","RESSED","9.4","TX",20600,"14098",12955,7380.128205,"0.000271306",0.271305649,109.2,1.31184406819283,3.16,31.96
"32004","ALLINGTON RESERVOIR",401605,964448,"",".",".","5","RESSED","9.2","NE",6.08,"0.52",0.512,NA,"",NA,NA,0.847915631262734,1.69,3.25
"78008","MILLER SMEED POND",440441,1165558,"",".",".","5","RESSED","10.1","ID",0.75,"0.218",0.217,0.030645161,"6.72565E-05",0.067256541,12.5,1.52370843111758,0,14.33
"33014","BONDEGARD STOCK POND",410858,1023808,"",".",".","5","RESSED","9.4","NE",5.52,"1.5",1.5,0.246753247,"7.83437E-05",0.078343679,13.6,0.664601233840652,1.89,15.54
"78009","TWIN PUDDLES POND",433648,1161209,"",".",".","5","RESSED","10.1","ID",3.15,"1.61",1.61,0.029411765,"8.70017E-06",0.008700166,2.8,0.693245100757379,0,0.01
"22007","BATT POND",411703,842120,"",".",".","5","RESSED","8.2","OH",0.63,"0.013",0.012,0.033333333,"0.001322909",1.322908623,16.1,1.24885018393019,2.85,0
"22003","GOLLER POND",411703,842120,"",".",".","5","RESSED","8.2","OH",1.5,"0.026",0.024,0.022222222,"0.00044097",0.440969541,4.5,1.24885018393019,2.85,0
"75024","CALODUS-LANCASTER FRUIT CO.",464000,1203000,"",".",".","3","RESSED","10.1","WA",0.25,"0.07",0.07,0.015,"0.000102053",0.102052951,18.3,7.36746810378347,0,6.58
"74005","LUTHER CLAYPOOL POND",440945,1202920,"",".",".","5","RESSED","6.2","OR",1.49,"1.09",1.09,0.037735849,"1.64877E-05",0.016487696,7.7,6.53192083169364,0.52,0.68
"50016","COIT POND NO. 1",353056,985800,"",".",".","5","RESSED","9.4","OK",4.79,"0.39",0.38,0.403883495,"0.00050618",0.506179855,25.7,1.55806103990658,1.28,25.14
"46010","HARRIS STOCK POND",364815,971657,"",".",".","5","RESSED","9.4","OK",3.25,"0.22",0.21,0.108333333,"0.000245683",0.24568303,10.2,0.630228156261744,1.23,35.83
"46009","GELMERS STOCK POND",364815,971657,"",".",".","5","RESSED","9.4","OK",2.86,"0.31",0.31,0.344444444,"0.000529163",0.529163449,36.7,0.630228156261744,1.23,35.83
"60036","JUDIA WASH RETARDING DAM",324816,1093647,"",".",".","1","RESSED","10.2","AZ",20.88,"4.6",4.57,0.750666667,"7.82282E-05",0.07822819,11,0.796360049632354,0,37.08
"62010","RONDO RUESCH DEBRIS BASIN NO. 2",370700,1132800,"",".",".","3","RESSED","10.1","UT",1.4,"0.026",0.026,0.089351852,"0.001636675",1.636675412,19.5,6.70152584472948,0,3.71
"62011","RONDO RUESCH DEBRIS BASIN NO. 1",370700,1132800,"",".",".","3","RESSED","10.1","UT",1,"0.09",0.09,0.056944444,"0.000301329",0.301329186,17.4,6.70152584472948,0,3.71
"79008","CIRCLE END CREEK SEDIMENT DAM",450249,1154003,"",".",".","1","RESSED","6.2","ID",0.0035,"1.452",1.452,0.008961303,"2.93925E-06",0.002939253,780.4,30.4725554150829,79.03,0
"58003","AVALON (LAKE AVALON)",322926,1041507,"","08403800","13060011","7","RESSED","10.2","NM",1000,"16030",1080,39.69512195,"1.75043E-05",0.01750434,12.1,4.55684142756705,13.3,1.3
"35007","C.T. GAAD",410601,951202,"",".",".","1","RESSED","9.2","IA",2.09,"0.081",0.079,0.217391304,"0.001310531",1.310531382,31.7,3.79315883146792,10.57,38.32
"60901","Sunnycove F.R.S.",335725,1124422,"",".",".","1","RESSED","10.2","AZ",14.8,"1.35",1.24,0.381355932,"0.000146467",0.146467466,7.9,3.96425952153437,0,0.3
"60013","DOS CABEZAS NO.15",321031,1093646,"",".",".","5","RESSED","10.2","AZ",1,"0.38",0.38,0.093596059,"0.000117302",0.117302242,28.5,1.76415230157237,1.06,17.87
"60012","DOS CABEZAS NO. 4 SW",321031,1093646,"",".",".","5","RESSED","10.2","AZ",1.11,"0.6",0.6,0.166666667,"0.000132291",0.132290862,45.8,1.76415230157237,1.06,17.87
"31019","HAWLEY RESERVOIR",402848,955733,"",".",".","5","RESSED","9.2","NE",3.52,"0.12",0.115,0.113333333,"0.000469345",0.469344972,9.8,1.46645166024778,1.23,87.15
"72021","LEO TRENTADUE",384228,1225405,"",".",".","5","RESSED","11.1","CA",1,"0.038",0.037,0.107317073,"0.001381336",1.38133636,32.7,7.57587755650435,32.37,29.76
"50042","WILDHORSE NO.1",343119,971204,"",".",".","1","RESSED","9.4","OK",34.3,"0.97",0.92,0.651452282,"0.000337231",0.337230721,5.8,1.59241252827392,30.6,1.43
"53025","J.S. WALL STOCK POND",310600,991760,"",".",".","5","RESSED","9.4","TX",3.2,"0.35",0.35,0.056934307,"7.74709E-05",0.077470853,5.4,1.80422046655973,32.87,3.49
"34003","GUERNSEY RESERVOIR",421726,1044553,"","06655500","10180008","7","RESSED","9.3","WY",2386,"15004",675,718.1407035,"0.000506685",0.506685082,91.7,5.6141385529073,14.17,0.39
