ID,Reference,Site,Lat,Long,Biome,LandUse,HumFoot,MAP,MAT,SOC,BulkDens,SoilNit,SoilSand,soilpH,Methane
1,Zhang et al. 2017," Dongmen Forest Farm, China",22.26,107.21,Tropical,Afforestation,40,1465,23,137,123,9,37,5,-4.818
2,Zhang et al. 2017," Dongmen Forest Farm, China",22.26,107.21,Tropical,Afforestation,40,1465,23,137,123,9,37,5,-4.993
4,Kagotani et al. 2001,"a decondary forest, central Japan",35.36,135.9,Subtropical,Secondary Forest,28,1859,13,351,108,23,42,5.3,-8.76
5,Morishita et al. 2007,"Aichi, Japan",34.86,137.61,Subtropical,Reforestation,34,2022,15,216,121,18,38,5.1,-14.991
6,Morishita et al. 2007,"Akita, Japan",39.98,140.4,Temperate,Reforestation,40,1547,10,325,118,19,40,6.2,-6.26
7,Yamulki & Morison 2017,"Alice Holt Research Forest, Thin04, UK",51.15,-0.85,Temperate,Afforestation,46,810,10,376,112,14,27,6.3,-2.054
8,Yamulki & Morison 2017,"Alice Holt Research Forest, Thin07a, UK",51.15,-0.85,Temperate,Afforestation,46,810,10,376,112,14,27,6.3,-4.394
9,Yamulki & Morison 2017,"Alice Holt Research Forest, Thin07b, UK",51.15,-0.85,Temperate,Afforestation,46,810,10,376,112,14,27,6.3,-4.45
10,Yamulki & Morison 2017,"Alice Holt Research Forest, Thin90, UK",51.15,-0.85,Temperate,Afforestation,46,810,10,376,112,14,27,6.3,-3.507
11,Yamulki & Morison 2017,"Alice Holt Research Forest, Thin96, UK",51.15,-0.85,Temperate,Afforestation,46,810,10,376,112,14,27,6.3,-3.682
12,Krause et al. 2013,"Alptal, Switzerland",47.03,8.72,Boreal,Primary Forest,21,1755,5,168,131,12,77,4.4,-5.353
13,Lavelle et al. 2014,"Altillanura Plana of Colombia, Venezuelan",4.5,-72,Savanna,Reforestation,17,2596,27,111,151,6,66,4.3,-2.651
14,Lavelle et al. 2014,"Altillanura Plana of Colombia, Venezuelan",4.5,-72,Savanna,Primary Forest,17,2596,27,111,151,6,66,4.3,-5.12
15,Pangala et al. 2017,"Amazon river-A7, Amazon, Brazil",-2.33,-57.58,Tropical,Primary Forest,7,2213,27,294,112,19,36,3.5,-1.701
16,Jones et al. 2016,"Andes, Perue",-13.19,-71.58,Tropical,Primary Forest,28,443,15,116,119,7,51,7.1,-6.57
17,Chen et al. 2020,"Anshun City, Guizhou Province, China ",26.368,105.7527,Subtropical,Secondary Forest,46,1163,16,158,126,18,15,7.5,-0.689
18,Chen et al. 2020,"Anshun City, Guizhou Province, China ",26.368,105.7527,Subtropical,Afforestation,46,1163,16,158,126,18,15,7.5,-0.301
19,Hart et al. 2006,"Arizo Snowbowl, USA",35.33,-111.7,Temperate,Primary Forest,7,699,4,149,143,23,47,4.6,3
20,Barrena et al. 2013,"Artzentales, Spain",43.21,-3.18,Temperate,Reforestation,65,1096,13,493,115,30,53,4.8,0.5
