Site,Lat,Long,NEP,GPP,Age,MAT,P,NA,Dist,Years
AU-Cum,-33.613,150.722,172.67,1198.28,300,18.4,595.85,M,1,2012-2014
AU-How,-12.494,131.152,435.47,2070.71,110,26.99,1681.15,M,1,2001-2014
AU-Rob,-17.117,145.63,657.52,2116.39,198,21.72,2193.83,M,1,2014
AU-Tum,-35.656,148.151,633.15,3328.78,83,9.78,889.26,M,1,2001-2006
AU-Wom,-37.422,144.094,681.83,1737.04,32,11.97,786.5,M,1,2010-2014
BE-Bra,51.309,4.52,118.73,1426.98,78,10.82,824.67,L,1,1996-2013
BE-Vie,50.305,5.998,454.14,1755.48,94,8.34,966.29,M,1,1996-2014
BR-Sa1,-2.856,-54.958,-26.53,3342.92,300,25.96,2596.91,L,1,2002-2011
BR-Sa3,-3.018,-54.971,105.85,3045.54,2,300,1408.04,L,1,2000-2004
CA-Ca1,49.867,-125.333,391.49,2232.29,60,8.39,1298.95,L,1,1997-2005
CA-Ca2,49.87,-125.291,-518.73,588.3,2,8.89,1214.01,L,1,2000-2005
CA-Ca3,49.534,-124.9,11.55,1342.57,16,9.66,1543.54,L,1,2001-2005
CA-Gro,48.216,-82.155,117.79,1065.12,78,3.6,770.32,M,1,2003-2014
CA-Man,55.879,-98.48,22.56,687.54,161,-1.11,310.38,L,1,1994-2003
CA-NS1,55.879,-98.483,89.03,739.28,154,0.22,215.28,L,1,2002-2005
CA-NS2,55.905,-98.524,172.45,948.37,73,-3.7,275.29,L,1,2001-2005
CA-NS3,55.911,-98.382,60.76,570.64,39,-2.93,196.49,L,1,2001-2005
CA-NS5,55.863,-98.485,80.68,695.77,23,-3.42,220.66,L,1,2001-2005
CA-NS6,55.916,-98.964,15.21,421.48,14,-1.11,201.88,L,1,2001-2005
CA-NS7,56.635,-99.948,-103.98,422.34,6,-2.09,235.75,L,1,2002-2005
CA-Oas,53.628,-106.197,122.27,1113.43,80,1.96,479.07,L,1,1997-2005
CA-Obs,53.987,-105.117,38.26,841.18,112,1.12,495.74,L,1,1999-2005
CA-Ojp,53.916,-104.692,46.83,572.34,88,1.4,454.21,L,1,1999-2005
CA-Qcu,49.267,-74.036,-146.72,321.05,4,1.16,930.16,L,1,2001-2006
