dam,period,flux,variation,flux_fmt_CO2-eq,flux_fmt_C,mf_fmt_CO2-eq,mf_fmt_C
Veazie,before,reservoir emissions,,"82 (71, 93)","2.56 (2.24, 2.88)","135 (117, 153)","4.22 (3.7, 4.74)"
Veazie,before,reservoir burial,,"-49.6 (-1.35, -252)","-13.5 (-0.368, -68.9)","-81.8 (-2.22, -416)","-22.3 (-0.606, -114)"
Veazie,burp,exposed sediment CO2,1 month,"25 (13, 37)","7 (4, 10)","3.64 (1.89, 5.39)","1.02 (0.582, 1.46)"
Veazie,burp,exposed sediment CO2,1 year,"301 (152, 450)","82 (41, 123)","43.8 (22.1, 65.5)","11.9 (5.97, 17.9)"
Veazie,burp,exposed sediment CO2,5 years,"1510 (762, 2250)","411 (208, 614)","219 (111, 328)","59.8 (30.3, 89.4)"
Veazie,burp,exposed sediment CO2,10 years,"3010 (1520, 4500)","822 (415, 1230)","439 (222, 656)","120 (60.4, 179)"
Veazie,burp,exposed sediment CO2,30 years,"9040 (4570, 13500)","2470 (1250, 3690)","1320 (666, 1970)","359 (182, 537)"
Veazie,burp,exposed sediment CH4,"no pore emissions, 1 month","5.06 (-14.5, 21.9)","0.111 (-0.32, 0.483)","0.736 (-2.11, 3.19)","0.0162 (-0.0465, 0.0703)"
Veazie,burp,exposed sediment CH4,"no pore emissions, 1 year","60.7 (-174, 263)","1.34 (-3.84, 5.8)","8.83 (-25.4, 38.3)","0.195 (-0.558, 0.844)"
Veazie,burp,exposed sediment CH4,"no pore emissions, 5 years","303 (-871, 1320)","6.68 (-19.2, 29)","44.2 (-127, 192)","0.973 (-2.79, 4.22)"
Veazie,burp,exposed sediment CH4,"no pore emissions, 10 years","607 (-1740, 2630)","13.4 (-38.4, 58)","88.3 (-254, 383)","1.95 (-5.58, 8.44)"
Veazie,burp,exposed sediment CH4,"no pore emissions, 30 years","1820 (-5230, 7900)","40.1 (-115, 174)","265 (-761, 1150)","5.84 (-16.8, 25.3)"
Veazie,burp,exposed sediment CH4,"pore emissions, 1 month","373 (353, 390)","8.21 (7.78, 8.59)","54.3 (51.5, 56.8)","1.2 (1.13, 1.25)"
Veazie,burp,exposed sediment CH4,"pore emissions, 1 year","429 (194, 631)","9.44 (4.27, 13.9)","62.4 (28.2, 91.9)","1.37 (0.621, 2.02)"
Veazie,burp,exposed sediment CH4,"pore emissions, 5 years","671 (-503, 1680)","14.8 (-11.1, 37.1)","97.7 (-73.2, 245)","2.15 (-1.61, 5.4)"
Veazie,burp,exposed sediment CH4,"pore emissions, 10 years","975 (-1370, 3000)","21.5 (-30.3, 66.1)","142 (-200, 437)","3.12 (-4.41, 9.62)"
Veazie,burp,exposed sediment CH4,"pore emissions, 30 years","2190 (-4860, 8270)","48.2 (-107, 182)","319 (-707, 1200)","7.02 (-15.6, 26.5)"
Veazie,burp,drawdown ebullition,0 x annual ebullition,"0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)"
Veazie,burp,drawdown ebullition,5 x annual ebullition,"43.4 (-11.6, 98.4)","0.957 (-0.254, 2.17)","71.6 (-19, 162)","1.58 (-0.419, 3.57)"
Veazie,burp,drawdown ebullition,10 x annual ebullition,"86.9 (-23.1, 197)","1.91 (-0.509, 4.34)","143 (-38.1, 325)","3.16 (-0.839, 7.15)"
Veazie,burp,drawdown ebullition,25 x annual ebullition,"217 (-57.8, 492)","4.78 (-1.27, 10.8)","358 (-95.2, 812)","7.89 (-2.1, 17.9)"
Veazie,burp,drawdown ebullition,100 x annual ebullition,"869 (-231, 1970)","19.1 (-5.09, 43.4)","1430 (-381, 3250)","31.6 (-8.39, 71.5)"
Veazie,burp,eroded sediment emissions,,"0 (0, 0.001)","0 (0, 0)","0.00021 (0.00000387, 0.00135)","0.0000574 (0.00000106, 0.000369)"
Veazie,build,river CO2 emissions,,"3370 (223, 15700)","921 (60.9, 4280)","5070 (335, 23600)","1380 (91.5, 6440)"
Veazie,build,river CH4 emissions,,"138 (55.4, 1700)","3.03 (1.22, 37.4)","207 (83.3, 2550)","4.56 (1.83, 56.2)"
Veazie,build,NEP,average annual integrated over 100 years,"-759 (853, -2370)","-207 (233, -647)","-111 (124, -345)","-30.2 (33.9, -94.2)"
Veazie,build,soil CH4 emissions,,"-7.56 (-44.8, 29.2)","-0.166 (-0.986, 0.644)","-1.1 (-6.52, 4.25)","-0.0242 (-0.144, 0.0937)"
Veazie,build,tree CH4 emissions,offset by canopy angiosperm,"0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)"
Veazie,build,tree CH4 emissions,whole trunk angiosperm,"178 (-138, 498)","5.24 (-4.07, 14.6)","25.9 (-20.1, 72.4)","0.763 (-0.592, 2.13)"
