"period","flux","variation","flux_unit","annual","area","mean","ci_lwr","ci_upr","area_m2","mean_area","ci_lwr_area","ci_upr_area","flux_fct"
"before","reservoir emissions","with degassing","CO2-eq","yes","reservoir",80,70,90,1510000,120800000,105700000,135900000,"reservoir emissions"
"before","reservoir emissions","with degassing","C","yes","reservoir",10.7931055016135,9.44396731391178,12.1422436893151,1510000,16297589.3074363,14260390.6440068,18334787.9708659,"reservoir emissions"
"before","reservoir emissions","without degassing","CO2-eq","yes","reservoir",72.52,63.52,81.52,1510000,109505200,95915200,123095200,"reservoir emissions"
"before","reservoir emissions","without degassing","C","yes","reservoir",10.6283798158279,9.30935860316313,11.9474010284927,1510000,16048853.5219002,14057131.4907763,18040575.553024,"reservoir emissions"
"before","reservoir burial",NA,"CO2-eq","yes","reservoir",-8364.08465963927,-22745.5745487924,-2097.2538461234,1510000,-12629767836.0553,-34345817568.6766,-3166853307.64633,"reservoir burial"
"before","reservoir burial",NA,"C","yes","reservoir",-2282.49617728397,-6207.09725814581,-572.324896431311,1510000,-3446569227.6988,-9372716859.80018,-864210593.611279,"reservoir burial"
"burp","exposed sediment CO2","0.0833333333333333","CO2-eq","no","exposed sediment area",14.4928497640574,0.611242551573707,82.6087361676864,1342445.29199144,19455857.9332982,820559.685624961,110897708.945674,"exposed sediment CO2"
"burp","exposed sediment CO2","1","CO2-eq","no","exposed sediment area",173.914197168689,7.33491061888444,991.304834012234,1342445.29199144,233470295.199578,9846716.22749947,1330772507.34808,"exposed sediment CO2"
"burp","exposed sediment CO2","5","CO2-eq","no","exposed sediment area",869.570985843445,36.6745530944222,4956.52417006117,1342445.29199144,1167351475.99789,49233581.1374973,6653862536.74042,"exposed sediment CO2"
"burp","exposed sediment CO2","10","CO2-eq","no","exposed sediment area",1739.14197168689,73.3491061888443,9913.04834012234,1342445.29199144,2334702951.99578,98467162.2749945,13307725073.4808,"exposed sediment CO2"
"burp","exposed sediment CO2","30","CO2-eq","no","exposed sediment area",5217.42591506063,220.047318246077,29739.145020367,1342445.29199144,7004108855.9873,295401486.394789,39923175220.4425,"exposed sediment CO2"
"burp","exposed sediment CO2","0.0833333333333333","C","no","exposed sediment area",3.95499035824425,0.166803522935702,22.5433065524634,1342445.29199144,5309358.18629655,223924.60405262,30263155.7472744,"exposed sediment CO2"
"burp","exposed sediment CO2","1","C","no","exposed sediment area",47.459884298931,2.0016422752284,270.51967862956,1342445.29199144,63712298.2355586,2687095.24863141,363157868.967291,"exposed sediment CO2"
"burp","exposed sediment CO2","5","C","no","exposed sediment area",237.299421494655,10.008211376142,1352.5983931478,1342445.29199144,318561491.177793,13435476.243157,1815789344.83646,"exposed sediment CO2"
"burp","exposed sediment CO2","10","C","no","exposed sediment area",474.59884298931,20.016422752284,2705.1967862956,1342445.29199144,637122982.355586,26870952.4863141,3631578689.67291,"exposed sediment CO2"
"burp","exposed sediment CO2","30","C","no","exposed sediment area",1423.79652896792,60.049268169402,8115.5903588868,1342445.29199144,1911368947.06674,80612857.3415454,10894736069.0187,"exposed sediment CO2"
"burp","exposed sediment CH4","no_pore_0.0833333333333333","CO2-eq","no","exposed sediment area",5.53695904489563,-14.2852014705133,21.9902022599397,1342445.29199144,7433064.60176958,-19177101.4592398,29520643.4937957,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_1","CO2-eq","no","exposed sediment area",66.4435085387476,-171.42241764616,263.882427119277,1342445.29199144,89196775.221235,-230125217.510879,354247721.925549,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_5","CO2-eq","no","exposed sediment area",332.217542693738,-857.1120882308,1319.41213559638,1342445.29199144,445983876.106175,-1150626087.55439,1771238609.62774,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_10","CO2-eq","no","exposed sediment area",664.435085387475,-1714.2241764616,2638.82427119277,1342445.29199144,891967752.212349,-2301252175.10879,3542477219.25549,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_30","CO2-eq","no","exposed sediment area",1993.30525610023,-5142.67252938054,7916.472813577,1342445.29199144,2675903256.55355,-6903756525.32064,10627431657.7647,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_0.0833333333333333","C","no","exposed sediment area",0.121935745432735,-0.31459085679343,0.484271543827703,1342445.29199144,163692.067381642,-422321.014605895,650108.054056928,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_1","C","no","exposed sediment area",1.46322894519282,-3.77509028152117,5.81125852593245,1342445.29199144,1964304.80857971,-5067852.17527075,7801296.64868316,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_5","C","no","exposed sediment area",7.31614472596411,-18.8754514076058,29.0562926296622,1342445.29199144,9821524.04289855,-25339260.8763537,39006483.2434157,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_10","C","no","exposed sediment area",14.6322894519282,-37.7509028152116,58.1125852593243,1342445.29199144,19643048.0857971,-50678521.7527074,78012966.4868313,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_30","C","no","exposed sediment area",43.896868354415,-113.252708445541,174.337755777944,1342445.29199144,58929144.2555526,-152035565.257996,234038899.460455,"exposed sediment CH4"
