"period","flux","variation","flux_unit","annual","area","mean","ci_lwr","ci_upr","area_m2","mean_area","ci_lwr_area","ci_upr_area","flux_fct"
"before","reservoir emissions","with degassing","CO2-eq","yes","reservoir",80,70,90,1510000,120800000,105700000,135900000,"reservoir emissions"
"before","reservoir emissions","with degassing","C","yes","reservoir",10.7931055016135,9.44396731391178,12.1422436893151,1510000,16297589.3074363,14260390.6440068,18334787.9708659,"reservoir emissions"
"before","reservoir emissions","without degassing","CO2-eq","yes","reservoir",72.52,63.52,81.52,1510000,109505200,95915200,123095200,"reservoir emissions"
"before","reservoir emissions","without degassing","C","yes","reservoir",10.6283798158279,9.30935860316313,11.9474010284927,1510000,16048853.5219002,14057131.4907763,18040575.553024,"reservoir emissions"
"before","reservoir burial",NA,"CO2-eq","yes","reservoir",-8266.29769911398,-22796.0028442472,-2007.71636602383,1510000,-12482109525.6621,-34421964294.8132,-3031651712.69598,"reservoir burial"
"before","reservoir burial",NA,"C","yes","reservoir",-2255.81084677025,-6220.85876299496,-547.890787456173,1510000,-3406274378.62308,-9393496732.12239,-827315089.058821,"reservoir burial"
"burp","exposed sediment CO2","0.0833333333333333","CO2-eq","no","exposed sediment area",14.4928497640574,0.611242551573707,82.6087361676864,1342445.29199144,19455857.9332982,820559.685624961,110897708.945674,"exposed sediment CO2"
"burp","exposed sediment CO2","1","CO2-eq","no","exposed sediment area",173.914197168689,7.33491061888444,991.304834012234,1342445.29199144,233470295.199578,9846716.22749947,1330772507.34808,"exposed sediment CO2"
"burp","exposed sediment CO2","5","CO2-eq","no","exposed sediment area",869.570985843445,36.6745530944222,4956.52417006117,1342445.29199144,1167351475.99789,49233581.1374973,6653862536.74042,"exposed sediment CO2"
"burp","exposed sediment CO2","10","CO2-eq","no","exposed sediment area",1739.14197168689,73.3491061888443,9913.04834012234,1342445.29199144,2334702951.99578,98467162.2749945,13307725073.4808,"exposed sediment CO2"
"burp","exposed sediment CO2","30","CO2-eq","no","exposed sediment area",5217.42591506063,220.047318246077,29739.145020367,1342445.29199144,7004108855.9873,295401486.394789,39923175220.4425,"exposed sediment CO2"
"burp","exposed sediment CO2","100","CO2-eq","no","exposed sediment area",17390.3927159248,731.852847946295,99129.6255889498,1342445.29199144,23345650827.3756,982472410.156034,133076099168.76,"exposed sediment CO2"
"burp","exposed sediment CO2","0.0833333333333333","C","no","exposed sediment area",3.95499035824425,0.166803522935702,22.5433065524634,1342445.29199144,5309358.18629655,223924.60405262,30263155.7472744,"exposed sediment CO2"
"burp","exposed sediment CO2","1","C","no","exposed sediment area",47.459884298931,2.0016422752284,270.51967862956,1342445.29199144,63712298.2355586,2687095.24863141,363157868.967291,"exposed sediment CO2"
"burp","exposed sediment CO2","5","C","no","exposed sediment area",237.299421494655,10.008211376142,1352.5983931478,1342445.29199144,318561491.177793,13435476.243157,1815789344.83646,"exposed sediment CO2"
"burp","exposed sediment CO2","10","C","no","exposed sediment area",474.59884298931,20.016422752284,2705.1967862956,1342445.29199144,637122982.355586,26870952.4863141,3631578689.67291,"exposed sediment CO2"
"burp","exposed sediment CO2","30","C","no","exposed sediment area",1423.79652896792,60.049268169402,8115.5903588868,1342445.29199144,1911368947.06674,80612857.3415454,10894736069.0187,"exposed sediment CO2"
"burp","exposed sediment CO2","100","C","no","exposed sediment area",4745.70816901288,199.717171184617,27051.7337723992,1342445.29199144,6370853588.65668,268109376.186638,36315472642.9633,"exposed sediment CO2"
"burp","exposed sediment CH4","no_pore_0.0833333333333333","CO2-eq","no","exposed sediment area",5.01437695808188,-14.5330135042882,21.8299830953847,1342445.29199144,6731526.7396474,-19509775.5572798,29305558.030652,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_1","CO2-eq","no","exposed sediment area",60.1725234969826,-174.396162051459,261.959797144617,1342445.29199144,80778320.8757689,-234117306.687358,351666696.367825,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_5","CO2-eq","no","exposed sediment area",300.862617484913,-871.980810257292,1309.79898572308,1342445.29199144,403891604.378844,-1170586533.43679,1758333481.83912,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_10","CO2-eq","no","exposed sediment area",601.725234969826,-1743.96162051458,2619.59797144616,1342445.29199144,807783208.757689,-2341173066.87357,3516666963.67824,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_30","CO2-eq","no","exposed sediment area",1805.1757048268,-5231.88486153969,7858.79391433716,1342445.29199144,2423349626.16208,-7023519200.61527,10550000891.0329,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_100","CO2-eq","no","exposed sediment area",6012.49179264344,-17435.5512064192,26192.1268210263,1342445.29199144,8071441300.17138,-23406273630.3332,35161497338.1296,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_0.0833333333333333","C","no","exposed sediment area",0.110427364065138,-0.32004821069844,0.480743173271912,1342445.29199144,148242.69499627,-429647.213662407,645371.409615905,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_1","C","no","exposed sediment area",1.32512836878165,-3.84057852838129,5.76891807926296,1342445.29199144,1778912.33995523,-5155766.56394889,7744456.91539089,"exposed sediment CH4"
