period,flux,variation,flux_unit,annual,area,mean,ci_lwr,ci_upr,area_m2,mean_area,ci_lwr_area,ci_upr_area,flux_fct
before,reservoir emissions,NA,CO2-eq,yes,reservoir,82,71,93,1648901.875,135209953.7,117072033.1,153347874.4,reservoir emissions
before,reservoir emissions,NA,C,yes,reservoir,2.558427463,2.215223779,2.901631147,1648901.875,4218595.841,3652686.643,4784505.039,reservoir emissions
before,reservoir burial,NA,CO2-eq,yes,reservoir,-287.8717547,-850.3068272,-29.16904819,1648901.875,-474672276.1,-1402072522,-48096898.25,reservoir burial
before,reservoir burial,NA,C,yes,reservoir,-78.55804985,-232.0423766,-7.960015196,1648901.875,-129534515.7,-382615109.8,-13125283.98,reservoir burial
burp,exposed sediment CO2,0.083333333,CO2-eq,no,exposed sediment area,14.49284976,0.611242552,82.60873617,145588.0554,2109985.815,88989.61448,12026845.26,exposed sediment CO2
burp,exposed sediment CO2,1,CO2-eq,no,exposed sediment area,173.9141972,7.334910619,991.304834,145588.0554,25319829.78,1067875.374,144322143.1,exposed sediment CO2
burp,exposed sediment CO2,5,CO2-eq,no,exposed sediment area,869.5709858,36.67455309,4956.52417,145588.0554,126599148.9,5339376.869,721610715.6,exposed sediment CO2
burp,exposed sediment CO2,10,CO2-eq,no,exposed sediment area,1739.141972,73.34910619,9913.04834,145588.0554,253198297.8,10678753.74,1443221431,exposed sediment CO2
burp,exposed sediment CO2,30,CO2-eq,no,exposed sediment area,5217.425915,220.0473182,29739.14502,145588.0554,759594893.3,32036261.17,4329664294,exposed sediment CO2
burp,exposed sediment CO2,100,CO2-eq,no,exposed sediment area,17390.39272,731.8528479,99129.62559,145588.0554,2531833459,106549033,14432089425,exposed sediment CO2
burp,exposed sediment CO2,0.083333333,C,no,exposed sediment area,3.954990358,0.166803523,22.54330655,145588.0554,575799.3555,24284.60054,3282036.164,exposed sediment CO2
burp,exposed sediment CO2,1,C,no,exposed sediment area,47.4598843,2.001642275,270.5196786,145588.0554,6909592.266,291415.2065,39384433.97,exposed sediment CO2
burp,exposed sediment CO2,5,C,no,exposed sediment area,237.2994215,10.00821138,1352.598393,145588.0554,34547961.33,1457076.033,196922169.8,exposed sediment CO2
burp,exposed sediment CO2,10,C,no,exposed sediment area,474.598843,20.01642275,2705.196786,145588.0554,69095922.66,2914152.065,393844339.7,exposed sediment CO2
burp,exposed sediment CO2,30,C,no,exposed sediment area,1423.796529,60.04926817,8115.590359,145588.0554,207287768,8742456.183,1181533019,exposed sediment CO2
burp,exposed sediment CO2,100,C,no,exposed sediment area,4745.708169,199.7171712,27051.73377,145588.0554,690918424,29076434.59,3938409316,exposed sediment CO2
burp,exposed sediment CH4,no_pore_0.0833333333333333,CO2-eq,no,exposed sediment area,5.04361097,-14.59457601,22.02225868,145588.0554,734289.5134,-2124795.942,3206177.818,exposed sediment CH4
burp,exposed sediment CH4,no_pore_1,CO2-eq,no,exposed sediment area,60.52333164,-175.1349122,264.2671042,145588.0554,8811474.161,-25497551.3,38474133.82,exposed sediment CH4
burp,exposed sediment CH4,no_pore_5,CO2-eq,no,exposed sediment area,302.6166582,-875.6745608,1321.335521,145588.0554,44057370.81,-127487756.5,192370669.1,exposed sediment CH4
burp,exposed sediment CH4,no_pore_10,CO2-eq,no,exposed sediment area,605.2333164,-1751.349122,2642.671042,145588.0554,88114741.61,-254975513,384741338.2,exposed sediment CH4
burp,exposed sediment CH4,no_pore_30,CO2-eq,no,exposed sediment area,1815.699949,-5254.047365,7928.013127,145588.0554,264344224.8,-764926539,1154224015,exposed sediment CH4
burp,exposed sediment CH4,no_pore_100,CO2-eq,no,exposed sediment area,6047.577108,-17509.42855,26422.86184,145588.0554,880454991.2,-2549163654,3846853074,exposed sediment CH4
burp,exposed sediment CH4,no_pore_0.0833333333333333,C,no,exposed sediment area,0.11107116,-0.32140395,0.484977495,145588.0554,16170.63418,-46792.57602,70606.93046,exposed sediment CH4
burp,exposed sediment CH4,no_pore_1,C,no,exposed sediment area,1.332853918,-3.856847395,5.819729943,145588.0554,194047.6102,-561510.9123,847283.1655,exposed sediment CH4
burp,exposed sediment CH4,no_pore_5,C,no,exposed sediment area,6.664269592,-19.28423697,29.09864971,145588.0554,970238.0508,-2807554.561,4236415.828,exposed sediment CH4
burp,exposed sediment CH4,no_pore_10,C,no,exposed sediment area,13.32853918,-38.56847395,58.19729943,145588.0554,1940476.102,-5615109.123,8472831.655,exposed sediment CH4
burp,exposed sediment CH4,no_pore_30,C,no,exposed sediment area,39.98561755,-115.7054218,174.5918983,145588.0554,5821428.305,-16845327.37,25418494.97,exposed sediment CH4
burp,exposed sediment CH4,no_pore_100,C,no,exposed sediment area,133.1806533,-385.5952708,581.8882403,145588.0554,19389512.33,-56138065.66,84715977.38,exposed sediment CH4
burp,exposed sediment CH4,pore_0.0833333333333333,CO2-eq,no,exposed sediment area,372.9550008,353.3168138,389.9336485,145588.0554,54297793.33,51438707.88,56769681.64,exposed sediment CH4
burp,exposed sediment CH4,pore_1,CO2-eq,no,exposed sediment area,428.4347215,192.7764777,632.1784941,145588.0554,62374977.98,28065952.52,92037637.64,exposed sediment CH4
burp,exposed sediment CH4,pore_5,CO2-eq,no,exposed sediment area,670.528048,-507.763171,1689.246911,145588.0554,97620874.62,-73924252.68,245934172.9,exposed sediment CH4
burp,exposed sediment CH4,pore_10,CO2-eq,no,exposed sediment area,973.1447062,-1383.437732,3010.582432,145588.0554,141678245.4,-201412009.2,438304842,exposed sediment CH4
burp,exposed sediment CH4,pore_30,CO2-eq,no,exposed sediment area,2183.611339,-4886.135975,8295.924516,145588.0554,317907728.6,-711363035.2,1207787518,exposed sediment CH4
burp,exposed sediment CH4,pore_100,CO2-eq,no,exposed sediment area,6415.488498,-17141.51716,26790.77323,145588.0554,934018495,-2495600150,3900416578,exposed sediment CH4
burp,exposed sediment CH4,pore_0.0833333333333333,C,no,exposed sediment area,8.21327116,7.78079605,8.587177495,145588.0554,1195754.177,1132790.967,1250190.473,exposed sediment CH4
