"period","flux","variation","flux_unit","annual","area","mean","ci_lwr","ci_upr","area_m2","mean_area","ci_lwr_area","ci_upr_area","flux_fct"
"before","reservoir emissions",NA,"CO2-eq","yes","reservoir",82,71,93,1648901.87482021,135209953.735257,117072033.112235,153347874.358279,"reservoir emissions"
"before","reservoir emissions",NA,"C","yes","reservoir",2.55842746325973,2.21522377916391,2.90163114735555,1648901.87482021,4218595.84076048,3652686.64260968,4784505.03891128,"reservoir emissions"
"before","reservoir burial",NA,"CO2-eq","yes","reservoir",-291.2577848803,-889.307666062771,-31.5557802605371,1648901.87482021,-480255507.545108,-1466381077.86289,-52032385.2330141,"reservoir burial"
"before","reservoir burial",NA,"C","yes","reservoir",-79.4820721747876,-242.685413983501,-8.61133653553852,1648901.87482021,-131058137.823602,-400164434.108913,-14199248.9581572,"reservoir burial"
"burp","exposed sediment CO2","0.0833333333333333","CO2-eq","no","exposed sediment area",14.4928497640574,0.611242551573707,82.6087361676864,145588.055431883,2109985.81481554,88989.6144808384,12026845.2603389,"exposed sediment CO2"
"burp","exposed sediment CO2","1","CO2-eq","no","exposed sediment area",173.914197168689,7.33491061888444,991.304834012234,145588.055431883,25319829.7777865,1067875.37377005,144322143.124067,"exposed sediment CO2"
"burp","exposed sediment CO2","5","CO2-eq","no","exposed sediment area",869.570985843445,36.6745530944222,4956.52417006117,145588.055431883,126599148.888932,5339376.86885027,721610715.620333,"exposed sediment CO2"
"burp","exposed sediment CO2","10","CO2-eq","no","exposed sediment area",1739.14197168689,73.3491061888443,9913.04834012234,145588.055431883,253198297.777865,10678753.7377005,1443221431.24067,"exposed sediment CO2"
"burp","exposed sediment CO2","30","CO2-eq","no","exposed sediment area",5217.42591506063,220.047318246077,29739.145020367,145588.055431883,759594893.333589,32036261.166447,4329664293.72199,"exposed sediment CO2"
"burp","exposed sediment CO2","100","CO2-eq","no","exposed sediment area",17390.3927159248,731.852847946295,99129.6255889498,145588.055431883,2531833458.70827,106549032.994787,14432089425.1858,"exposed sediment CO2"
"burp","exposed sediment CO2","0.0833333333333333","C","no","exposed sediment area",3.95499035824425,0.166803522935702,22.5433065524634,145588.055431883,575799.355508626,24284.6005433963,3282036.16397797,"exposed sediment CO2"
"burp","exposed sediment CO2","1","C","no","exposed sediment area",47.459884298931,2.0016422752284,270.51967862956,145588.055431883,6909592.26610351,291415.206520752,39384433.9677355,"exposed sediment CO2"
"burp","exposed sediment CO2","5","C","no","exposed sediment area",237.299421494655,10.008211376142,1352.5983931478,145588.055431883,34547961.3305176,1457076.03260376,196922169.838678,"exposed sediment CO2"
"burp","exposed sediment CO2","10","C","no","exposed sediment area",474.59884298931,20.016422752284,2705.1967862956,145588.055431883,69095922.6610351,2914152.06520752,393844339.677355,"exposed sediment CO2"
"burp","exposed sediment CO2","30","C","no","exposed sediment area",1423.79652896792,60.049268169402,8115.5903588868,145588.055431883,207287767.983104,8742456.1828909,1181533019.03207,"exposed sediment CO2"
"burp","exposed sediment CO2","100","C","no","exposed sediment area",4745.70816901288,199.717171184617,27051.7337723992,145588.055431883,690918423.973786,29076434.5891249,3938409315.98459,"exposed sediment CO2"
"burp","exposed sediment CH4","no_pore_0.0833333333333333","CO2-eq","no","exposed sediment area",5.04361096975734,-14.5945760135545,22.0222586848052,145588.055431883,734289.513441884,-2124795.9416662,3206177.81813868,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_1","CO2-eq","no","exposed sediment area",60.5233316370881,-175.134912162654,264.267104217663,145588.055431883,8811474.16130261,-25497551.2999944,38474133.8176643,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_5","CO2-eq","no","exposed sediment area",302.61665818544,-875.674560813267,1321.33552108831,145588.055431883,44057370.806513,-127487756.499972,192370669.088321,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_10","CO2-eq","no","exposed sediment area",605.233316370881,-1751.34912162653,2642.67104217663,145588.055431883,88114741.6130261,-254975512.999943,384741338.176643,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_30","CO2-eq","no","exposed sediment area",1815.69994903134,-5254.04736487559,7928.01312652859,145588.055431883,264344224.827242,-764926538.999245,1154224014.52974,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_100","CO2-eq","no","exposed sediment area",6047.5771076718,-17509.4285494811,26422.8618412964,145588.055431883,880454991.180308,-2549163654.24245,3846853074.41964,"exposed sediment CH4"
"burp","exposed sediment CH4","no_pore_0.0833333333333333","C","no","exposed sediment area",0.111071159870151,-0.321403949543034,0.484977495240778,145588.055431883,16170.6341800591,-46792.5760220973,70606.9304603301,"exposed sediment CH4"
